dim,scope,entity,metric,used,total,percent,source_report,notes
16,fitter_final,,Total logic elements,119,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total combinational functions,87,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Dedicated logic registers,71,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total pins,35,360,10%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total memory bits,0,1677312,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Embedded Multiplier 9-bit elements,1,288,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,Total PLLs,0,4,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,UFM blocks,0,1,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,fitter_final,,ADC blocks,0,2,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.fit.summary,Final fitted resource utilization from Quartus fit.summary
16,entity_utilization,sweep_top_wrapper,Combinational ALUTs,85,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim16) from Quartus map.rpt
16,entity_utilization,sweep_top_wrapper,Dedicated Logic Registers,71,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim16) from Quartus map.rpt
16,entity_utilization,sweep_top_wrapper,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim16) from Quartus map.rpt
16,entity_utilization,sweep_top_wrapper,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim16) from Quartus map.rpt
16,entity_utilization,sweep_top_wrapper,Pins,35,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim16) from Quartus map.rpt
16,entity_utilization,int8_qk_dot_product_core,Combinational ALUTs,85,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8_dim16) from Quartus map.rpt
16,entity_utilization,int8_qk_dot_product_core,Dedicated Logic Registers,70,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8_dim16) from Quartus map.rpt
16,entity_utilization,int8_qk_dot_product_core,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8_dim16) from Quartus map.rpt
16,entity_utilization,int8_qk_dot_product_core,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8_dim16) from Quartus map.rpt
16,entity_utilization,int8_qk_dot_product_core,Pins,0,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim16/output_files/dot_product_dim16.map.rpt,Resource utilization by entity (DotProductInt8_dim16) from Quartus map.rpt
32,fitter_final,,Total logic elements,136,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,Total combinational functions,104,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,Dedicated logic registers,72,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,Total pins,35,360,10%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,Total memory bits,0,1677312,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,Embedded Multiplier 9-bit elements,1,288,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,Total PLLs,0,4,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,UFM blocks,0,1,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,ADC blocks,0,2,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,entity_utilization,sweep_top_wrapper,Combinational ALUTs,102,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,Dedicated Logic Registers,72,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,Pins,35,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,Combinational ALUTs,102,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,Dedicated Logic Registers,71,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,Pins,0,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
64,fitter_final,,Total logic elements,161,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,Total combinational functions,130,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,Dedicated logic registers,73,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,Total pins,35,360,10%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,Total memory bits,0,1677312,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,Embedded Multiplier 9-bit elements,1,288,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,Total PLLs,0,4,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,UFM blocks,0,1,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,fitter_final,,ADC blocks,0,2,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.fit.summary,Final fitted resource utilization from Quartus fit.summary
64,entity_utilization,sweep_top_wrapper,Combinational ALUTs,128,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim64) from Quartus map.rpt
64,entity_utilization,sweep_top_wrapper,Dedicated Logic Registers,73,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim64) from Quartus map.rpt
64,entity_utilization,sweep_top_wrapper,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim64) from Quartus map.rpt
64,entity_utilization,sweep_top_wrapper,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim64) from Quartus map.rpt
64,entity_utilization,sweep_top_wrapper,Pins,35,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim64) from Quartus map.rpt
64,entity_utilization,int8_qk_dot_product_core,Combinational ALUTs,128,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8_dim64) from Quartus map.rpt
64,entity_utilization,int8_qk_dot_product_core,Dedicated Logic Registers,72,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8_dim64) from Quartus map.rpt
64,entity_utilization,int8_qk_dot_product_core,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8_dim64) from Quartus map.rpt
64,entity_utilization,int8_qk_dot_product_core,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8_dim64) from Quartus map.rpt
64,entity_utilization,int8_qk_dot_product_core,Pins,0,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim64/output_files/dot_product_dim64.map.rpt,Resource utilization by entity (DotProductInt8_dim64) from Quartus map.rpt
128,fitter_final,,Total logic elements,195,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,Total combinational functions,163,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,Dedicated logic registers,74,49760,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,Total pins,35,360,10%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,Total memory bits,0,1677312,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,Embedded Multiplier 9-bit elements,1,288,< 1%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,Total PLLs,0,4,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,UFM blocks,0,1,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,fitter_final,,ADC blocks,0,2,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.fit.summary,Final fitted resource utilization from Quartus fit.summary
128,entity_utilization,sweep_top_wrapper,Combinational ALUTs,161,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim128) from Quartus map.rpt
128,entity_utilization,sweep_top_wrapper,Dedicated Logic Registers,74,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim128) from Quartus map.rpt
128,entity_utilization,sweep_top_wrapper,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim128) from Quartus map.rpt
128,entity_utilization,sweep_top_wrapper,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim128) from Quartus map.rpt
128,entity_utilization,sweep_top_wrapper,Pins,35,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim128) from Quartus map.rpt
128,entity_utilization,int8_qk_dot_product_core,Combinational ALUTs,161,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8_dim128) from Quartus map.rpt
128,entity_utilization,int8_qk_dot_product_core,Dedicated Logic Registers,73,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8_dim128) from Quartus map.rpt
128,entity_utilization,int8_qk_dot_product_core,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8_dim128) from Quartus map.rpt
128,entity_utilization,int8_qk_dot_product_core,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8_dim128) from Quartus map.rpt
128,entity_utilization,int8_qk_dot_product_core,Pins,0,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim128/output_files/dot_product_dim128.map.rpt,Resource utilization by entity (DotProductInt8_dim128) from Quartus map.rpt
